URL,Nom Google,Adresse,Numéro de téléphone,URL du lien,Horaires
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Epinal&stick=H4sIAAAAAAAA_-NgU1I1qDAxtzRONDSzNLI0tkw0NEmzMqhItTQxTks1tzQ1NU4xTks2W8Qq5ZyfU5qbVFqs4JyYdnilgpqCc76Ca0FmXmIOAKcrG8lGAAAA&hl=fr&mat=CYXVMiMHX_fXElcBEKoLaYsoGqQZPo4j1po6zzCZKxS9NyhP-OJfw16puzA08I5nKRlMfQrWJf51uJP0hTcnGAyOXV-sd2h9oGbQRzSTaguOJSxCiHmtnhjD-L9Xwq555ok&authuser=0,Columbus Café & Co Epinal,"4 Rue des Minimes, 88000 Épinal, France",Non trouvé,,"{'mercredi': '08:00–19:00', 'jeudi': '08:00–19:00', 'vendredi': '08:00–19:00', 'samedi': '08:00–19:00', 'dimanche': 'Fermé', 'lundi': '08:00–19:00', 'mardi': '08:00–19:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Manosque&stick=H4sIAAAAAAAA_-NgU1I1qDA0Sk5KTrFMMUs1NUxKTU2xMqgwSjY0T7ZMSzOzTLNIMUkyXcQq45yfU5qbVFqs4JyYdnilgpqCc76Cb2JefnFhaSoARQkZo0gAAAA&hl=fr&mat=CcRqAYXJ0LFjElcBEKoLabr52Qh4JKPk_2LWytQiMBvmPPtFIIZ1C4LZEMBY95TVgovkUbJUIaF95_Xm_DfU3H3vaTP3OfN_usdju5o7KbCLIWlsnIclhEmAWvZh85l0h3g&authuser=0,Columbus Café & Co Manosque,"14 Av. Jean Giono, 04100 Manosque, France",+33 4 23 36 12 03,https://www.columbuscafe.com/,"{'mercredi': '08:00–18:00', 'jeudi': '08:00–18:00', 'vendredi': '08:00–18:00', 'samedi': '08:00–18:00', 'dimanche': '09:00–18:00', 'lundi': '08:00–18:00', 'mardi': '08:00–18:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Lempdes&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzNLNU5OSjYzsTQ0tEizMqhITTNKMU-2MDMwTTVNSk1LXcQq7ZyfU5qbVFqs4JyYdnilgpqCc76CT2puQUpqMQAcsGwmRwAAAA&hl=fr&mat=CUnVEbBP7REnElYBEKoLaRyj5GL58XdlMPLNXbdEWZPtMC1IrOIE__9xIkPYWPlb7Au7Lju7-WoF455UzAuyqw3Xc7bveJONCI_T5TNIM4LgTVg3QxbIpCRww281zKFbmQ&authuser=0,Columbus Café & Co Lempdes,"26 Av. de l'Europe, 63370 Lempdes, France",Non trouvé,https://www.columbuscafe.com/,"{'mercredi': '09:00–19:30', 'jeudi': '09:00–19:30', 'vendredi': '09:00–19:30', 'samedi': '09:00–19:30', 'dimanche': 'Fermé', 'lundi': '09:00–19:30', 'mardi': '09:00–19:30'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxT0tOMU1KSrY0tjQ0NDC1MqgwTjNITTM2tTRKSk4xTjI1XcQq7JyfU5qbVFqs4JyYdnilgpqCcz4A3n4l9z8AAAA&hl=fr&mat=CYQcNLMhzVuNElcBEKoLaVCf6vhywPcRrD2-ssk1KXvxaYtzlGdbEjjtZo3eXM6nprjZe2Btf6Sz2yz_56w12CGVfbNqs-VpZgaJ79DsB-LJjSQU5ZIqyCgs79mxxBg-T0M&authuser=0,Non trouvé,"5 Rue du Change, 37000 Tours, France",+33 2 47 05 82 74,https://www.columbuscafe.com/boutique/tours-rue-du-change/,"{'mercredi': '09:00–18:30', 'jeudi': '09:00–18:30', 'vendredi': '09:00–18:30', 'samedi': '09:00–18:30', 'dimanche': '09:00–18:30', 'lundi': '09:00–18:30', 'mardi': '09:00–18:30'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDA0SjJMMk62tDAxMUs2NDe1MqgwTU5KSTYzMks2skgzNTRMWcQq7JyfU5qbVFqs4JyYdnilgpqCcz4Aj-Y4Qz8AAAA&hl=fr&mat=CZF-JUYizzl-ElcBEKoLabwA3hQwAZfKt2TzMUGOlKIpCp0KShzxoFjeHiIpGLDLNtAoZN0HRJH40oDk4KvLMMhTKvdWka_3vINuFGbQXlPceQFfv3cUb5hEzvFcKOvbNH4&authuser=0,Non trouvé,"Rue Christiaan Barnard, 1 rue Du Professeur, 11100 Montredon-des-Corbières, France",+33 4 34 27 48 02,,"{'mercredi': '11:00–15:30', 'jeudi': '11:00–15:30', 'vendredi': '11:00–15:30', 'samedi': 'Fermé', 'dimanche': 'Fermé', 'lundi': '11:00–15:30', 'mardi': '11:00–15:30'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDA0Sk5JMbRMTjY1MDNOs7S0MqhIMjG0sDAyNDJPTk1OTjJJWcQq7JyfU5qbVFqs4JyYdnilgpqCcz4AqIj6nD8AAAA&hl=fr&mat=CS_6289Z213pElcBEKoLaR2uMC7hCKzNFT_ohxkp5HFQCmWIUsNuT0jirz0V4wc94SxLVxaDcGu0K7nxZ5n6H3hAA_fMehJ2tuasxmSF-G89Q6c15SDXC5SLwlK8jAfVoa4&authuser=0,Non trouvé,"317 Av. Eugène Donadeï, 06700 Saint-Laurent-du-Var, France",Non trouvé,https://www.columbuscafe.com/boutique/saint-laurent-du-var-centre-commercial-cap-3000/,"{'mercredi': '09:00–19:00', 'jeudi': '09:00–19:00', 'vendredi': '09:00–19:00', 'samedi': '09:00–20:00', 'dimanche': '09:00–20:00', 'lundi': '09:00–19:00', 'mardi': '09:00–19:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDCxMDAxNTdJNDNNNjK3NEmxMqgwN00yNTIxMDc3t0i1SDMyWcQq7JyfU5qbVFqs4JyYdnilgpqCcz4AdRue3D8AAAA&hl=fr&mat=CRiecbTijAZWElcBEKoLaRS7kedALCBMNm82QIp5LzKUIoAdZWsX3uYDt6Tyv5EeidZlfvk-uN9_i2bMqfFvUoC7xkOYJMXaczatVT8Fo6RXDc6vszdEefIXnElUCTmL9OQ&authuser=0,Non trouvé,"Rdpt de l'Europe Centre Commercial E.Leclerc, 85800 Saint-Gilles-Croix-de-Vie, France",+33 2 51 93 82 61,https://www.columbuscafe.com/,"{'mercredi': '08:30–19:00', 'jeudi': '08:30–19:00', 'vendredi': '08:30–19:00', 'samedi': '08:30–19:00', 'dimanche': 'Fermé', 'lundi': '08:30–19:00', 'mardi': '08:30–19:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1IxqDAxtzQxNbYwNDYwSjO0SDW3MqgwNzEyTDE0NbQwTzZKNjdYxCrsnJ9TmptUWqzgnJh2eKWCmoJzPgCfA4X0PgAAAA&hl=fr&mat=CRT-TUXBlYRtElcBEKoLaaoLXFSa-82XBzdMYntBg0sVI6f1snOFYkl-FgxG5b2Y5kJfSn79LkEE6mxGHOEj31cElYBjhGyf2SdGnMrkBIx_uHxapoc5Fe0Zc2gd8tEEvv8&authuser=0,Non trouvé,"61 Av. Saint-Jean, 57450 Farébersviller, France",Non trouvé,,Non trouvés
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxtzS0TDFNMjUzMk40MDG1MqgwS0pJMU2zNDQxMklKMjFNXcQq7JyfU5qbVFqs4JyYdnilgpqCcz4AtstJ2z8AAAA&hl=fr&mat=CZswC_ospryMElcBEKoLaSUAnvDME0B9moxmo5o7ZqOw6LmuRJbWDRUA35b_02RTAy_klCjzMoAfJjY0Z85-1VonFcNpObWFbvnACgHkVs-gjYqpUC8SB9zKDBDo8u1S05g&authuser=0,Non trouvé,"Centre Commercial Shop’in Witty (Cora, 130 Rue de Soultz, 68270 Wittenheim, France",Non trouvé,,"{'mercredi': '09:00–20:00', 'jeudi': '09:00–20:00', 'vendredi': '09:00–20:00', 'samedi': '09:00–20:00', 'dimanche': 'Fermé', 'lundi': '09:00–20:00', 'mardi': '09:00–20:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzMwMTVNSjS3NEy2NEyyMqgwMjFJNDExSza2SDM3SElMW8Qq7JyfU5qbVFqs4JyYdnilgpqCcz4Ajt0C8j8AAAA&hl=fr&mat=CRQGSTHNT8SbElYBEKoLacJ9RIT_DJsUdpnocpo7TJb2A1gzTN1_jQuf-yL9TpCtimtKKoNoxu4mBuKzN6zdIZmJdEAiS7aaK_wBFGsjGgyurgV8nHsS9GHR-tw_S6ft0Q&authuser=0,Non trouvé,"Centre Commerciale Carrefour Nevers Marzy, Rte de Fourchambault, 58180 Nevers, France",Non trouvé,http://www.columbuscafe.com/,"{'mercredi': '09:00–19:30', 'jeudi': '09:00–19:30', 'vendredi': '09:00–19:30', 'samedi': '09:00–19:30', 'dimanche': 'Fermé', 'lundi': '09:00–19:30', 'mardi': '09:00–19:30'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Gare+du+Nord&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzUzSzMwMLJMTE41Sk2zMqhINjE3MjWyNDI0NUxKSTU0XMSq4JyfU5qbVFqs4JyYdnilghpQQME9sShVIaVUwS-_KAUAR_T5-0wAAAA&hl=fr&mat=CX9wmu_vuOehElcBEKoLaV2ZYhtFSbPYSMO2ethYVJuLvV3KxjxfOvQRs6u7GHduSJ10BDULJ57liFZteI4dqhK72eP5EY4Y4QLNXhfeEqJ2-J3BVPRae8jkJdMcjxk31IA&authuser=0,Columbus Café & Co Gare du Nord,"Gare du Nord quai RER, 18 Rue de Dunkerque 42-44, 75010 Paris, France",+33 1 44 52 76 91,https://www.columbuscafe.com/,"{'mercredi': '06:00–20:30', 'jeudi': '06:00–20:30', 'vendredi': '06:00–20:30', 'samedi': '06:30–20:30', 'dimanche': '06:30–20:30', 'lundi': '06:00–20:30', 'mardi': '06:00–20:30'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDA0SjIwNzQyTzJPSjQ2T06yMqgwskgySjEzMUxMTk0xS7S0XMQq7JyfU5qbVFqs4JyYdnilgpqCcz4AIEoCFD8AAAA&hl=fr&mat=Cbv2TCw9J6V8ElcBEKoLaWgLYsLpKvYoAqH9qvl0Cyk4i1swHQezy1IlA7b-WUHLyP3CXqA7zq4dqeJY8jX6MrttGgZ3gm2u8GIC3I7GUvjfalQcRGcZsLeekFznNOq-FBA&authuser=0,Non trouvé,"170 Av. André Tourne, 66100 Perpignan, France",+33 4 68 83 95 62,https://www.columbuscafe.com/boutique/perpignan-decathlon/,"{'mercredi': '07:30–20:00', 'jeudi': '07:30–20:00', 'vendredi': '07:30–20:00', 'samedi': '07:30–20:00', 'dimanche': 'Fermé', 'lundi': '07:30–20:00', 'mardi': '07:30–20:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co+Saint+Ferr%C3%A9ol&stick=H4sIAAAAAAAA_-NgU1I1qDA0SrZMNjQxM09NtkxLNU-yMqhITLMwTjZINUwyMEk2MbRIXcSq5JyfU5qbVFqs4JyYdnilgpqCc75CcGJmXomCW2pR0eGV-TkA9HtS3U4AAAA&hl=fr&mat=CfzNzMP_wl4pElYBEKoLaVkjQhPFw_6cQOI2MtLbrdHdemaKKfB6lm5gQUDa0QcyJPg6df0oTCMAvFPN4tnijCqBzElfWAb8NrOXBLpOjsxhh8iLQ2PDgvKGaPj0xr3f4w&authuser=0,Columbus Café & Co Saint Ferréol,"73 Rue Saint-Ferréol, 13006 Marseille, France",Non trouvé,https://www.columbuscafe.com/boutique/marseille-73-rue-saint-ferreol/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,"{'mercredi': '08:00–19:30', 'jeudi': '08:00–19:30', 'vendredi': '08:00–19:30', 'samedi': '08:00–19:30', 'dimanche': '08:00–19:30', 'lundi': '08:00–19:30', 'mardi': '08:00–19:30'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxT01LTLKwtEw1TjY1MrW0MqhISzNPMkk0STEwMDUyMLc0WsQq7JyfU5qbVFqs4JyYdnilgpqCcz4AnUt2KD8AAAA&hl=fr&mat=CYUSxJJHGShkElYBEKoLaSzlHqCaGZhAdMPZSSFnW5vXMUhvCro5DDNJS0QD91IZJuotL0WJ8qDbLwFJ5PQIPDBiw-zm7vMLVVVOZdyzfNnYO6VxAxCwQoH_1NBUj_4iqQ&authuser=0,Non trouvé,"Rue des Entrepreneurs, 89300 Joigny, France",+33 3 86 92 13 00,https://www.columbuscafe.com/boutique/joigny-intermarche/,"{'mercredi': '09:00–19:00', 'jeudi': '09:00–19:00', 'vendredi': '09:00–19:00', 'samedi': '09:00–19:00', 'dimanche': 'Fermé', 'lundi': '09:00–19:00', 'mardi': '09:00–19:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzM1NU-0NDVOMzFKTTK3MqgwNjI0NTNLTkqyNLc0Mku1WMQq7JyfU5qbVFqs4JyYdnilgpqCcz4Aj_K2Tj8AAAA&hl=fr&mat=Cdmio51tVQhxElcBEKoLaa0vpE5yfjfkAhb03vLnjRoPS8MvWcIxci_L637wI24KVzi-eR7LTwJRCqtPkfMjoTyOfatOVsOp6o8FlgkC6u0WDEfAF7Ohnq3oI_01tRk6TbU&authuser=0,Non trouvé,"362 Rue Faventines, 26000 Valence, France",Non trouvé,https://www.columbuscafe.com/,"{'mercredi': '08:00–19:00', 'jeudi': '08:00–19:00', 'vendredi': '08:00–19:00', 'samedi': '08:00–19:00', 'dimanche': 'Fermé', 'lundi': '08:00–19:00', 'mardi': '08:00–19:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDCxMEg1TElJTE40TDFPMjG3MqhINjFIM05OMzAyNUlNSjY1WsQq7JyfU5qbVFqs4JyYdnilgpqCcz4AWH0AVj8AAAA&hl=fr&mat=CexjUbRukYH-ElYBEKoLaW2pDzI_n9gJkIyF6MKKo4Ys-93Zog_ybX8UmaMCRcnLRyBMbT3A6SZoWwRVRzmlrAUrUaiuPWH2jsFlzQ3NxVPURQBQQrVgI0umuSibuO42Tg&authuser=0,Non trouvé,"Centre commercial les champs, 1 Rue Sainte-Barbe, 22000 Saint-Brieuc, France",+33 2 96 70 50 94,https://www.columbuscafe.com/,"{'mercredi': '08:30–19:00', 'jeudi': '08:30–19:00', 'vendredi': '08:30–19:00', 'samedi': '08:30–19:00', 'dimanche': 'Fermé', 'lundi': '08:30–19:00', 'mardi': '08:30–19:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1IxqDAxTzUzNDU2NUszNUozNrW0MqhISzE2T01JNTVIs0g2NTFexCrsnJ9TmptUWqzgnJh2eKWCmoJzPgCYhS3YPgAAAA&hl=fr&mat=CWoMyLTas-rZElcBEKoLaaMQKduT1TL58yi6TTqGgs13wj5x1ENVL84Oxs9OUo40apEx1TKHI0EIx2EAIAQzmdB43VAKDF2z-aZ2vXEcbGsBMRHc3bWk5RcM7zMLs2eRtZ8&authuser=0,Non trouvé,"Centre commercial Aéroville, 30 Rue des Buissons, 95700 Roissy-en-France, France",+33 1 74 25 03 07,https://www.columbuscafe.com/boutique/roissy-en-francecentre-commercial-aeroville/,"{'mercredi': '09:00–20:00', 'jeudi': '09:00–20:00', 'vendredi': '09:00–20:00', 'samedi': '09:00–20:00', 'dimanche': '09:00–20:00', 'lundi': '09:00–20:00', 'mardi': '09:00–20:00'}"
https://www.google.com/search?q=Columbus+Caf%C3%A9+%26+Co&stick=H4sIAAAAAAAA_-NgU1I1qDA0SkxKMjYyNEhJSko0NDC2MqgwSkxMMrE0STRNMTYxMTJOXcQq7JyfU5qbVFqs4JyYdnilgpqCcz4AehAcij8AAAA&hl=fr&mat=CdtVfIhqRx2PElcBEKoLacnI4zmCV35XBIWaUaoDLRouXtUBlZJkvTrFADKW1ULBTtqfxFogfow7keANFqSOdAQMnHOOULAQRjxdqrSo_QSCseP0M4r6JMYJgny843gwPr0&authuser=0,Non trouvé,"1 Rue Jacquard, 47000 Agen, France",+33 6 77 08 94 19,https://www.columbuscafe.com/boutique/agen/,"{'mercredi': '08:00–19:00', 'jeudi': '08:00–19:00', 'vendredi': '08:00–19:00', 'samedi': '08:00–19:00', 'dimanche': 'Fermé', 'lundi': '08:00–19:00', 'mardi': '08:00–19:00'}"
